Symbol,SEM_SMST_SECURITY_ID,Company Name,Industry,Series,ISIN Code,ID
POWERGRID,14977,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010,14977
PNB,10666,Punjab National Bank,Financial Services,EQ,INE160A01022,10666
RECLTD,15355,REC Ltd.,Financial Services,EQ,INE020B01018,15355
RELIANCE,2885,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018,2885
SBICARD,17971,SBI Cards and Payment Services Ltd.,Financial Services,EQ,INE018E01016,17971
SBILIFE,21808,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016,21808
SRF,3273,SRF Ltd.,Chemicals,EQ,INE647A01010,3273
MOTHERSON,4204,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035,4204
SHREECEM,3103,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015,3103
SHRIRAMFIN,4306,Shriram Finance Ltd.,Financial Services,EQ,INE721A01013,4306
SIEMENS,3150,Siemens Ltd.,Capital Goods,EQ,INE003A01024,3150
SBIN,3045,State Bank of India,Financial Services,EQ,INE062A01020,3045
SUNPHARMA,3351,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036,3351
TVSMOTOR,8479,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023,8479
TCS,11536,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029,11536
TATACONSUM,3432,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025,3432
TATAMTRDVR,16965,Tata Motors Ltd DVR,Automobile and Auto Components,EQ,IN9155A01020,16965
TATAMOTORS,3456,Tata Motors Ltd.,Automobile and Auto Components,EQ,INE155A01022,3456
TATAPOWER,3426,Tata Power Co. Ltd.,Power,EQ,INE245A01021,3426
TATASTEEL,3499,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020,3499
TECHM,13538,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036,13538
TITAN,3506,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028,3506
TORNTPHARM,3518,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028,3518
TRENT,1964,Trent Ltd.,Consumer Services,EQ,INE849A01020,1964
ULTRACEMCO,11532,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011,11532
VBL,18921,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01021,18921
VEDL,3063,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025,3063
WIPRO,3787,Wipro Ltd.,Information Technology,EQ,INE075A01022,3787
ZOMATO,5097,Zomato Ltd.,Consumer Services,EQ,INE758T01015,5097
ZYDUSLIFE,7929,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027,7929
